,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1037,CHEMBL190645,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)cc2O1,Inactive,474.8590000000001,5.644900000000005,1.0,5.0,5.585026652029182
1038,CHEMBL364774,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(F)cc3Cl)cc2O1,Inactive,408.853,4.885400000000005,1.0,4.0,5.366531544420414
1039,CHEMBL190665,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(F)cc3Cl)cc2O1,Intermediate,394.8260000000001,4.495300000000004,1.0,4.0,4.823908740944319
1040,CHEMBL190352,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCOCC4)cc3Cl)cc2O1,Inactive,474.9810000000003,5.640300000000006,1.0,5.0,4.823908740944319
1041,CHEMBL121,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC5(CC4)CC5)cc3Cl)cc2O1,Active,499.0470000000003,7.184100000000008,1.0,4.0,5.431798275933005
1042,CHEMBL981,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C(F)(F)F)cc3Cl)cc2O1,Inactive,458.86000000000007,5.765100000000005,1.0,4.0,5.366531544420414
1043,CHEMBL371120,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,Intermediate,488.88600000000014,5.687400000000006,1.0,5.0,6.00436480540245
1044,CHEMBL186179,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C(C)(C)C)cc3Cl)cc2O1,Active,446.9710000000002,6.043800000000006,1.0,4.0,5.552841968657781
1045,CHEMBL121,COc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,406.8620000000002,4.364800000000003,1.0,5.0,4.823908740944319
1046,CHEMBL248906,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)cc2O1,Active,460.83200000000005,5.254800000000004,1.0,5.0,4.823908740944319
