molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL192691,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc2c(-c3ccccc3)coc12,Active,94.0
CHEMBL373142,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Active,210.0
CHEMBL370747,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc(C(C)=O)c1O,Active,580.0
CHEMBL365387,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc(C(=O)CC)c1O,Active,300.0
CHEMBL192646,COc1cc(C[C@H](OC)C(=O)O)ccc1OCCCOc1ccc(Oc2ccccc2)cc1,Active,13.0
CHEMBL370074,CO[C@@H](Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)c(Cl)c1)C(=O)O,Active,5.0
CHEMBL363805,CO[C@@H](Cc1ccc(C#CCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,Active,13.0
CHEMBL192919,CO[C@@H](Cc1ccc(C#CCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,Active,7.0
CHEMBL365315,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Active,70.0
CHEMBL371341,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Active,10000.0
CHEMBL179330,CO[C@@H](Cc1ccc(OCCCOc2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Active,21.0
CHEMBL364894,CO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,Active,34.0
CHEMBL191087,CO[C@@H](Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)cc1)C(=O)O,Active,5.0
CHEMBL372913,CCO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,Active,44.0
CHEMBL195367,COc1ccc(-n2c(C)c(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,Inactive,1.0
CHEMBL121,Cc1c(Cc2cccc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1ccccn1,Active,466.0
CHEMBL66206,COc1ccc2nc(-n3c(C)c(Cc4cccc(O[C@@H](C)C(=O)O)c4)c4cc(OC(F)(F)F)ccc43)ccc2c1,Intermediate,135.0
CHEMBL81592,COc1ccc2ncc(-n3c(C)c(Cc4cccc(O[C@@H](C)C(=O)O)c4)c4cc(OC(F)(F)F)ccc43)cc2c1,Active,29.0
CHEMBL82034,Cc1c(Oc2cccc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,Active,33.0
CHEMBL199225,CCCc1c(Oc2c(C)n(-c3noc4cc(Cl)ccc34)c3ccc(OC(F)(F)F)cc23)cccc1O[C@@H](C)C(=O)O,Intermediate,641.0
CHEMBL206794,Cc1c(Oc2cc(O[C@@H](C)C(=O)O)ccc2Cl)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,Active,5.0
CHEMBL204057,Cc1c(Oc2cc(Cl)cc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,Intermediate,109.0
CHEMBL1783064,CCCc1ccc(Oc2c(C)n(-c3noc4cc(Cl)ccc34)c3ccc(OC(F)(F)F)cc23)cc1O[C@@H](C)C(=O)O,Intermediate,20.0
CHEMBL202739,Cc1c(Oc2ccc(Cl)c(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,Intermediate,1.0
CHEMBL424685,COc1ccc(C(=O)n2c(C)c(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,Intermediate,2.0
CHEMBL206202,COc1ccc2c(-n3c(C)c(Cc4cc(O[C@H](C)C(=O)O)ccc4Cl)c4cc(OC(F)(F)F)ccc43)noc2c1,Intermediate,2.0
CHEMBL205665,COc1ccc(C(=O)n2c(C)c(Cc3cccc(OCC#N)c3)c3cc(OC(F)(F)F)ccc32)cc1,Active,42.0
CHEMBL203621,C#CCOc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1,Intermediate,62.0
CHEMBL383233,CN1C(=O)SC(Cc2ccc(OCCN(C)c3ccccn3)cc2)C1=O,Active,50000.0
CHEMBL208472,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Active,250.0
CHEMBL378160,Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(C)C(=O)O)cc1,Active,2570.0
CHEMBL23296,Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(Cc2ccccc2)C(=O)O)cc1,Active,491.0
CHEMBL427040,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,Intermediate,18.0
CHEMBL209563,CC(Cc1ccccc1)(Oc1ccc(Cl)cc1)C(=O)O,Active,3900.0
CHEMBL207907,CC(C)(Oc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O,Intermediate,981.0
CHEMBL383728,O=C(O)CCc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1,Intermediate,6440.0
CHEMBL207442,CC(C)C1=CC(C)(C)Oc2cc(OCCCOc3ccc(CC(C)(C)C(=O)O)cc3)c(Cl)cc21,Intermediate,1845.0
CHEMBL207103,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C3CCC(C)(C)CC3)cc2Cl)cc1)C(=O)O,Active,3610.0
CHEMBL207019,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C3CCCCC3)cc2Cl)cc1)C(=O)O,Intermediate,1851.0
CHEMBL210973,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(CC(F)(F)F)cc2Cl)cc1)C(=O)O,Active,6000.0
CHEMBL210768,CC[C@@](C)(Cc1ccc(OCCCOc2ccccc2Cl)cc1)C(=O)O,Active,851.0
CHEMBL213314,CCC(C)(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O,Active,1240.0
CHEMBL121,O=S(=O)(Nc1cc(-c2cccs2)nn1-c1ccc(F)cc1)c1ccc(-c2cc(C(F)(F)F)on2)s1,Active,175.0
CHEMBL215701,O=S(=O)(Nc1cc(-c2cccs2)nn1-c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Active,22.7
CHEMBL215245,O=S(=O)(Nc1cc(-c2cccs2)nn1-c1ccc(F)cc1)c1cccc(F)c1,Active,512.0
CHEMBL213361,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc2c(C(F)(F)F)noc12,Active,195.0
CHEMBL213315,CCCc1c(OCCCN(C)c2ccc(CC(=O)O)c(C)c2)ccc2c(C(F)(F)F)noc12,Active,4600.0
CHEMBL214921,CCCc1c(OCCCN(C)c2ccc(CC(=O)O)cc2C)ccc2c(C(F)(F)F)noc12,Active,460.0
CHEMBL214026,CCCc1c(OCCCn2ccc3cc(CCC(=O)O)ccc32)ccc2c(C(F)(F)F)noc12,Active,1200.0
CHEMBL377660,CCCc1c(OCCCn2ccc3cc(CC(=O)O)ccc32)ccc2c(C(F)(F)F)noc12,Active,1900.0
CHEMBL212591,CCCc1c(OCCCN(C)c2cccc(CC(=O)O)c2)ccc2c(C(F)(F)F)noc12,Active,3000.0
CHEMBL212023,CCCc1c(OCCCNc2ccc(CC(=O)O)cc2)ccc2c(C(F)(F)F)noc12,Active,102.0
CHEMBL215127,CCCc1c(OCCCN(C)c2ccc(CC(=O)O)cc2)ccc2c(C(F)(F)F)noc12,Active,2900.0
CHEMBL215126,CCCc1c(OCCCOc2ccc(CC(=O)O)cc2)ccc2c(C(F)(F)F)noc12,Intermediate,270.0
CHEMBL212911,CCCc1c(OCCCOc2ccc(CC(=O)O)cc2Cl)ccc2c(C(F)(F)F)noc12,Active,280.0
CHEMBL378068,CCc1ccc(OCCCOc2ccc(OC(C)(C)C(=O)O)cc2)c(C(=O)c2ccccc2)c1,Active,38.0
CHEMBL215582,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Active,67.0
CHEMBL376627,CCc1cc(OCC[C@@H](C)Oc2ccc(Cl)cc2Oc2ccccc2)ccc1CCC(=O)O,Active,19.0
CHEMBL121,C[C@H](CCOc1ccc(CCC(=O)O)c(F)c1)Oc1ccc(Cl)cc1Oc1ccccc1,Active,63.0
CHEMBL374657,C[C@H](CCOc1ccc(CCC(=O)O)c(C(F)(F)F)c1)Oc1ccc(Cl)cc1Oc1ccccc1,Active,61.0
CHEMBL385585,Cc1cc(OCC[C@@H](C)Oc2ccc(C(F)(F)F)cc2Oc2ccccc2)ccc1CCC(=O)O,Active,6.0
CHEMBL218230,Cc1cc(OCC[C@@H](C)Oc2ccc(OC(F)(F)F)cc2Oc2ccccc2)ccc1CCC(=O)O,Active,6.0
CHEMBL218841,Cc1cc(OCC[C@@H](C)Oc2ccc(Cl)cc2Oc2ccccc2)ccc1CCC(=O)O,Active,15.0
CHEMBL374705,CCc1ccc(O[C@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(Oc2ccccc2)c1,Active,6.0
CHEMBL218840,CCc1ccc(OC(C)CCOc2ccc(CCC(=O)O)c(C)c2)c(Cc2ccccc2)c1,Active,59.0
CHEMBL218789,CCCC(CCOc1ccc(CCC(=O)O)c(C)c1)Oc1ccc(CC)cc1C(=O)c1ccccc1,Active,417.0
